ID;Cursos;Tipo;Turmas;SEG;TER;QUA;QUI;SEX;SAB
ADM.BC;Administração;Bacharelado;ADM.BC.01,ADM.BC.03;13-16;13-16;13-16;13-16;13-16;1-16
AGNG.TL;Agronegócio;Tecnólogo;AGNG.TL.01;1-12;1-12;1-12;1-12;1-12;0
AGRO.BC;Agronomia;Bacharelado;AGRO.BC.01,AGRO.BC.03,AGRO.BC.05,AGRO.BC.07,AGRO.BC.09;13-16;13-16;13-16;13-16;13-16;1-16
BCC.BC;Ciência da Computação;Bacharelado;BCC.BC.01,BCC.BC.03,BCC.BC.05,BCC.BC.07;13-16;13-16;13-16;13-16;13-16;1-16
BIO.BC;Ciências Biológicas (bacharelado);Bacharelado;BIO.BC.01,BIO.BC.03,BIO.BC.05,BIO.BC.07;13-16;13-16;13-16;13-16;13-16;1-16
BIO.LI;Ciências Biológicas (licenciatura);Licenciatura;BIO.LI.01,BIO.LI.03,BIO.LI.05,BIO.LI.07;1-12;1-12;1-12;1-12;1-12;0
ENG.AMB;Engenharia Ambiental;Bacharelado;ENG.AMB.01,ENG.AMB.03,ENG.AMB.05,ENG.AMB.07,ENG.AMB.09;13-16;13-16;13-16;13-16;13-16;1-16
ENG.ALI;Engenharia de Alimentos;Bacharelado;ENG.ALI.01,ENG.ALI.03,ENG.ALI.05,ENG.ALI.07,ENG.ALI.09;13-16;13-16;13-16;13-16;13-16;1-16
ENG.CIV;Engenharia Civil;Bacharelado;ENG.CIV.01,ENG.CIV.03,ENG.CIV.05,ENG.CIV.07,ENG.CIV.09;13-16;13-16;13-16;13-16;13-16;1-16
ENG.QUI;Engenharia Química;Bacharelado;ENG.QUI.01;13-16;13-16;13-16;13-16;13-16;1-16
QUIM.LI;Química;Licenciatura;QUIM.LI.01,QUIM.LI.03,QUIM.LI.05,QUIM.LI.07;1-12;1-12;1-12;1-12;1-12;0
SA.TL;Saneamento Ambiental;Tecnólogo;SA.TL.03,SA.TL.05;1-12;1-12;1-12;1-12;1-12;0
ZOO.TL;Zootecnia;Tecnólogo;ZOO.TL.01,ZOO.TL.03,ZOO.TL.05,ZOO.TL.07,ZOO.TL.09;13-16;13-16;13-16;13-16;13-16;1-16
ADM.TEC;Técnico em Administração;Técnico;ADM.TEC.01T,ADM.TEC.02T,ADM.TEC.03T,ADM.TEC.01N,ADM.TEC.02N,ADM.TEC.03N;0;0;0;0;0;0
AGRO.TEC;Técnico em Agropecuária;Técnico;AGRO.TEC.01M,AGRO.TEC.02M,AGRO.TEC.03M,AGRO.TEC.04M,AGRO.TEC.01T,AGRO.TEC.02T,AGRO.TEC.03T,AGRO.TEC.04T;13-16;13-16;13-16;13-16;13-16;1-16
ALI.TEC;Técnico em Alimentos;Técnico;ALI.TEC.01,ALI.TEC.02,ALI.TEC.03,ALI.TEC.04;1-12;1-12;1-12;1-12;1-12;0
BIO.TEC;Técnico em Biotecnologia;Técnico;BIO.TEC.01,BIO.TEC.02,BIO.TEC.03,BIO.TEC.04;1-12;1-12;1-12;1-12;1-12;0
CONT.TEC;Técnico em Contabilidade;Técnico;CONT.TEC.01,CONT.TEC.02,CONT.TEC.03;1-12;1-12;1-12;1-12;1-12;0
EDI.TEC;Técnico em Edificações;Técnico;EDI.TEC.01,EDI.TEC.02,EDI.TEC.03,EDI.TEC.04;1-12;1-12;1-12;1-12;1-12;0
INFO.TEC;Técnico em Informática;Técnico;INFO.TEC.01,INFO.TEC.02,INFO.TEC.03,INFO.TEC.04;1-12;1-12;1-12;1-12;1-12;0
QUIM.TEC;Técnico em Química;Técnico;QUIM.TEC.01,QUIM.TEC.02,QUIM.TEC.03;1-12;1-12;1-12;1-12;1-12;0
SEG.TEC;Técnico em Segurança do Trabalho;Técnico;SEG.TEC.01,SEG.TEC.02,SEG.TEC.03,SEG.TEC.04;1-12;1-12;1-12;1-12;1-12;0
PROEJA.ADM;PROEJA Adminstração;PROEJA;PROEJA.ADM.03,PROEJA.ADM.04,PROEJA.ADM.05,PROEJA.ADM.06,PROEJA.ADM.07;1-12;1-12;1-12;1-12;1-12;0
PROEJA.EDI;PROEJA Edificações;PROEJA;PROEJA.EDI.07,PROEJA.EDI.08;1-12;1-12;1-12;1-12;1-12;0
AVULSO;Turmas Especiais;Bacharelado;AVUSOL.01,AVULSO.02,AVULSO.03;0;0;0;0;0;0
