ID;Disciplinas;Professor;Curso;Turma;Turno;Sala Teórica;Laboratório;Qtd Alunos;CH Presencial;CH EaD;Mínimo;Splits;SEG;TER;QUA;QUI;SEX;SAB
Disc_1;Matemática Comercial e Financeira;Idalci Cruvinel dos Reis;Administração;ADM.BC.01;Noite;Sala 09;-;50;4;0;4;1;1-12;1-12;1-12;1-12;1-12;1-16
Disc_2;Teoria Geral da Administração I;Jean Marc Nacife;Administração;ADM.BC.01;Noite;Sala 09;-;50;4;0;2;2;1-12;1-12;1-12;1-12;1-12;1-16
Disc_3;Ética Geral e Profissional;José Aurélio Vazquez Rúbio;Administração;ADM.BC.01;Noite;Sala 09;-;50;4;0;2;2;1-12;1-12;1-12;1-12;1-12;1-16
Disc_4;Comportamento Organizacional;Carlos Antônio Cardoso Sobrinho;Administração;ADM.BC.01;Noite;Sala 09;-;50;4;0;2;2;1-12;1-12;1-12;1-12;1-12;1-16
Disc_5;Língua Portuguesa e Correspondência Comercial;Wilciene Nunes do Vale;Administração;ADM.BC.01;Noite;Sala 09;-;50;4;0;2;2;1-12;1-12;1-12;1-12;1-12;1-16
Disc_6;Direito e Legislação empresarial;Márcia Cristina Puydinger de Fazio;Administração;ADM.BC.03;Noite;Sala 10-B;-;50;4;0;2;2;1-12;1-12;1-12;1-12;1-12;1-16
Disc_7;Marketing I;Carlos Antônio Cardoso Sobrinho;Administração;ADM.BC.03;Noite;Sala 10-B;-;50;4;0;2;2;1-12;1-12;1-12;1-12;1-12;1-16
Disc_8;Logística;José Aurélio Vazquez Rúbio;Administração;ADM.BC.03;Noite;Sala 10-B;-;50;4;0;2;2;1-12;1-12;1-12;1-12;1-12;1-16
Disc_9;Contabilidade;Frankcione Borges de Almeida;Administração;ADM.BC.03;Noite;Sala 10-B;-;50;4;0;2;2;1-12;1-12;1-12;1-12;1-12;1-16
Disc_10;Gestão de Pessoas II;Haihani Silva Passos;Administração;ADM.BC.03;Noite;Sala 10-B;-;50;4;0;2;2;1-12;1-12;1-12;1-12;1-12;1-16
